Title,Author
The Book Thief,Markus Zusak
Book Lovers,Emily Henry
The Graveyard Book,Neil Gaiman
Hazed and Chained,N.J. Salupo
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau
Furiously Happy: A Funny Book about Horrible Things,Jenny  Lawson
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón
The Book of Lost Names,Kristin Harmel
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix
The Art Book,Phaidon Press
The Book Woman of Troublesome Creek,Kim Michele Richardson
The Book of Cold Cases,Simone St. James
"The Book of Life (All Souls, #3)",Deborah Harkness
The Library Book,Susan Orlean
The Book of Longings,Sue Monk Kidd
"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson
"Book of Night (Book of Night, #1)",Holly Black
Better Homes and Gardens New Cook Book,Better Homes and Gardens
The Little Book of Hygge: The Danish Way to Live Well,Meik Wiking
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien
